Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\limes.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\apples3.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries_wax7.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries(rainier)1.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/vines\watermelon-715608_640.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries3.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries_wax2.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries_wax1.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\Bananas(lady_finger)1.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\Bananas(lady_finger)5.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries7.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\mangos1.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\pear.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\mangos2.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries4.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries_wax3.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries8.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherry3.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries_wax5.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\peaches.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\apple.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\cherries_wax6.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\pomegranate2.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\apples2.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/test-multiple_fruits/tree\Bananas(lady_finger)2.jpg, True Label: 1, Predicted Label: 0
