Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\fig_r_220_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_255_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_244_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_wr_141_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_a_r_101_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_321_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_r_83_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_300_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_wr_72_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\plum_3_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_299_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_15_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_245_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\plum_3_r3_27_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_r_253_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_67_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_r_255_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\plum_3_r3_34_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\fig_r_216_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_313_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_167_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_87_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_wr_159_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\fig_r_215_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\fig_r_222_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\huckleberry_r_209_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_149_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_r_r2_140_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_wr_139_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/bush\huckleberry_r_244_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\plum_3_r3_39_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\plum_3_r3_36_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_233_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_312_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_260_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_r_79_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_246_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_wy_68_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_r_77_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_r_79_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_246_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_170_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_r_81_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_319_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_wr_165_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_317_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_247_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_wr_163_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_147_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_288_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_311_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_r_82_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_252_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_r_r2_146_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_83_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_243_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\fig_r_211_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_13_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_316_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_323_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\fig_r_214_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_r_172_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_11_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_r_268_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_248_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_r_78_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_wy_111_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\apple_rd_r_12_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_245_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\fig_r_217_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_249_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_wb_r_38_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_r_r2_143_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_r_252_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_153_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_r_84_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/vines\grape_w_82_100.jpg, True Label: 0, Predicted Label: 1
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_236_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\cherry_wr_173_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_257_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\mandarine_r_253_100.jpg, True Label: 1, Predicted Label: 0
Image: C:/Users/lucin/OneDrive/Desktop/strojaky/project/archive/fruits-360_dataset/fruits-360/Test/tree\pear_s_237_100.jpg, True Label: 1, Predicted Label: 0
